,Cabin,Ticket number,number,Survived
0,NaN,A/5 21171,5,0
1,C85,PC 17599,3,1
2,NaN,STON/O2. 3101282,6,1
3,C123,113803,3,1
4,NaN,373450,A,0
5,F33,A/5 7708870,7,0
6,NaN,PP 6068228,2,0
7,NaN,SC/Paris 1339687,2,1
8,D56,6220868,6,0
9,NaN,PC 2872230,4,0
10,NaN,9444066,6,0
11,B28,C,2,0
12,NaN,C,8,1
13,NaN,D,3,0
14,G72,4508072,7,1
15,E101,STON/O2. 8549432,1,0
16,C123,D,7,1
17,F33,LINE,1,0
18,NaN,C,6,0
19,D56,7712220,C,1
20,NaN,LINE,5,0
21,C123,2810343,1,1
22,NaN,W./C. 5160230,4,0
23,C85,A,3,0
24,NaN,9324173,7,0
25,NaN,3474754,7,1
26,NaN,D,4,0
27,E101,C.A. 3861684,1,0
28,G72,B,1,1
29,C85,4772073,4,0
30,G72,LINE,4,1
31,NaN,1682524,7,1
32,A12,1008841,2,0
33,A12,A,4,1
34,C123,4773212,2,1
35,NaN,LINE,1,0
36,NaN,B,8,1
37,B28,A,1,1
38,D56,D,8,0
39,B28,A/5 9718032,1,1
40,NaN,A/4. 8437429,3,0
41,NaN,STON/O2. 1150597,4,1
42,C85,LINE,1,0
43,A12,LINE,5,0
44,NaN,B,3,1
45,NaN,1317071,C,0
46,C85,8587336,6,0
47,NaN,SC/Paris 2647552,5,0
48,NaN,C,2,0
49,D56,PC 9282552,5,0
50,G72,4528914,5,0
51,C85,C,B,0
52,NaN,B,7,0
53,C85,STON/O2. 9154486,B,0
54,A12,SC/Paris 6118837,1,1
55,B28,A,7,0
56,NaN,B,3,1
57,NaN,W./C. 6908400,4,1
58,C123,A,1,1
59,B28,A/4. 5867294,4,0
60,NaN,D,2,1
61,E101,D,6,0
62,C85,C,5,0
63,C85,5899667,6,1
64,F33,A,4,1
65,NaN,A,4,1
66,A12,W./C. 5267630,2,1
67,NaN,6951696,5,0
68,B28,6461002,3,1
69,A12,106810,4,1
70,NaN,5506444,8,0
71,NaN,2946949,5,1
72,C85,B,4,0
73,C123,CA. 7972465,2,1
74,A12,LINE,7,1
75,A12,A/5 1789238,4,0
76,NaN,LINE,4,0
77,NaN,A/4. 8911914,6,1
78,F33,LINE,8,0
79,G72,D,4,1
80,NaN,D,5,1
81,C85,B,6,0
82,C123,S.O.C. 2564646,2,1
83,A12,7916912,4,1
84,A12,LINE,1,1
85,NaN,W./C. 5010888,7,0
86,NaN,S.O.C. 8148720,B,1
87,G72,A/4. 2142239,1,1
88,F33,554696,7,0
89,B96,943636,6,0
90,NaN,6460682,7,1
91,B96,A/5 9050949,6,0
92,NaN,A/5 521596,4,0
93,F33,STON/O2. 7946036,4,1
94,G72,W./C. 2816034,2,0
95,D56,A/5 5234774,7,1
96,G72,PP 4075336,5,0
97,NaN,A,7,1
98,C85,5824909,B,1
99,C85,6176506,8,0
