brand,km_driven,fuel,owner,selling_price
Ford,180638,Diesel,Fourth Owner,129000
Skoda,105863,CNG,First Owner,486000
Maruti,19829,CNG,Second Owner,226000
Tata,73088,Petrol,First Owner,344000
Kia,158230,Petrol,First Owner,491000
Hyundai,161284,CNG,First Owner,370000
Tata,22211,Diesel,Second Owner,362000
Honda,47815,Petrol,Fourth Owner,226000
Skoda,156868,CNG,Third Owner,270000
Skoda,107621,CNG,Second Owner,364000
Kia,157945,CNG,First Owner,487000
Volkswagen,188362,Diesel,Fourth Owner,243000
Tata,163501,Petrol,Fourth Owner,151000
Ford,57124,Petrol,Second Owner,266000
Skoda,147677,CNG,Third Owner,293000
Ford,85481,CNG,Fourth Owner,169000
Skoda,53243,Diesel,Fourth Owner,261000
Honda,20277,Petrol,Fourth Owner,204000
Kia,99161,CNG,Third Owner,331000
Volkswagen,28025,Petrol,Fourth Owner,238000
Toyota,25904,Petrol,First Owner,593000
Volkswagen,84605,CNG,Fourth Owner,240000
Ford,103182,Diesel,Fourth Owner,160000
Volkswagen,25454,Diesel,Fourth Owner,272000
Toyota,114306,Diesel,Second Owner,504000
Mahindra,127751,Diesel,Second Owner,353000
Kia,122858,Petrol,Second Owner,430000
Toyota,104049,CNG,Fourth Owner,274000
Hyundai,56194,Diesel,First Owner,423000
Hyundai,13162,CNG,Second Owner,336000
Volkswagen,83906,Diesel,Third Owner,326000
Honda,169858,Petrol,Third Owner,259000
Ford,129706,Diesel,First Owner,378000
Tata,113316,Petrol,Fourth Owner,143000
Mahindra,26317,CNG,Fourth Owner,195000
Skoda,52546,Diesel,Fourth Owner,246000
Ford,36838,CNG,First Owner,319000
Volkswagen,105318,Diesel,First Owner,520000
Skoda,48941,Diesel,Fourth Owner,257000
Ford,134295,CNG,Third Owner,175000
Skoda,135932,Petrol,Fourth Owner,221000
Toyota,36787,Diesel,Second Owner,524000
Toyota,145353,Petrol,Second Owner,430000
Hyundai,48430,CNG,Third Owner,261000
Maruti,178536,CNG,Third Owner,127000
Toyota,53789,CNG,Third Owner,377000
Hyundai,176839,CNG,Third Owner,202000
Volkswagen,115037,Diesel,Second Owner,428000
Hyundai,103208,CNG,Fourth Owner,151000
Maruti,77941,Petrol,Fourth Owner,119000
Volkswagen,199563,Petrol,Fourth Owner,203000
Ford,36779,Diesel,Second Owner,312000
Mahindra,63575,Diesel,Third Owner,298000
Volkswagen,135691,CNG,First Owner,482000
Skoda,111852,CNG,First Owner,460000
Mahindra,176682,Diesel,Fourth Owner,184000
Skoda,131414,CNG,Fourth Owner,217000
Skoda,54565,CNG,Second Owner,382000
Maruti,181929,Diesel,Fourth Owner,110000
Volkswagen,182298,CNG,Fourth Owner,208000
Honda,15609,CNG,Second Owner,345000
Skoda,123720,CNG,Second Owner,366000
Hyundai,65778,Diesel,Third Owner,272000
Kia,77990,Diesel,Third Owner,382000
Tata,102742,Diesel,First Owner,409000
Volkswagen,141504,CNG,Fourth Owner,206000
Kia,125376,Diesel,First Owner,554000
Volkswagen,55179,Diesel,Second Owner,440000
Mahindra,155876,CNG,First Owner,357000
Ford,37815,CNG,Fourth Owner,180000
Maruti,82592,Diesel,Second Owner,245000
Skoda,157253,CNG,Fourth Owner,185000
Skoda,170570,Petrol,Third Owner,287000
Volkswagen,191595,CNG,Second Owner,367000
Mahindra,143104,CNG,Fourth Owner,163000
Kia,127316,Petrol,Second Owner,402000
Tata,125898,Diesel,Fourth Owner,178000
Skoda,122286,CNG,Second Owner,358000
Hyundai,42073,CNG,Third Owner,237000
Ford,45980,Diesel,Third Owner,257000
Hyundai,114400,CNG,First Owner,378000
Honda,52327,CNG,Second Owner,362000
Kia,120435,Petrol,Third Owner,314000
Ford,199307,Petrol,First Owner,294000
Maruti,125463,Petrol,Fourth Owner,94000
Tata,144286,Petrol,Third Owner,188000
Skoda,32036,Diesel,First Owner,538000
Toyota,80895,Diesel,Second Owner,497000
